rank,address,amount
130,0x22b7d80c7996dbae05bda48e8ef53745bdbd368c53a277b4a6abaa214d9f5dc2,138600000000
131,0x9763dd47856ff882bc943c28b31412d7dd24594160fcdbd7f0614e648295e11a,136500000000
132,0xd68ce5ec5bf382594ab017b8d9caa2ede3b0922808de45c38f9f288af5015055,136458000000
133,0xaf833b1361384d70b7d27a6cc1ff25cd31692025d4bd6d081c8e9644a02e683f,135250500000
134,0x1a8e9cdaa538ac9b2fd31b32a08c189c3d694da38f722fcab0d359958a0469d5,135208500000
135,0x15eeae4851b35602b34a69c7aead22ec021b1bc2c9120a606e932cdad9e261de,130200000000
136,0x73754e1dd80ec83ca171f02a4f9513042c834052542384a21bb50899d82327e3,130200000000
137,0x4863e8666e61990741dc692f904b661feb9b34793e09387deda9acc20a363da4,128100000000
138,0x39ef56ba495271b5399f68bebc255a85199ac63d69dae1451be2199c3a642540,127786050000
139,0x095db94fd509159c62f9e73376591d9dfa9827c5232d3fc3a9912d5585b8961c,126945000000
140,0x40e8d1f19de5dd04a54c7214b469d7660fd8b580f1f48a435daf6776b7106c36,126000000000
141,0xe84afd3d78aec6f2689a0d41ea4f7ed246ee8c20b0c5e9c24d01b82317763cea,122000000000
142,0x78a19a41513eeb9de8cdfe2c869cff39a1bf88a7cbe858706e5bb0c7102a892c,121275000000
143,0x0343ac8cc642e7a5861dfc422dc065b7060232d26ea740161b61c8704b22b703,121054500000
144,0xa30c7c1ccd9c464dd9005c61cd2feb8b858e9f5f5ca5232b6abc699c2b5ce137,117758655000
145,0x10d6bb0fd05eb2501e784443e2ccfcd027f0eb72450383b10f576bcb96e11a70,117642000000
146,0x159f2e5e701d9e9df2abde45e13b47a040693f1dbff255579e56c9a6a146bc70,116575200000
147,0xa4ad3ef824e867e64c83215b3ac931c8960fdcb14a47415821aebb582632fb6c,116550000000
148,0x3084d4fd98564648870af64933b48a3fece26665600f9f6c898de25845df20cf,116340000000
149,0x806628e7d32f4fc8b68b46a8d211cc01a2f9193e00836a539f410da14266f5d1,115815000000
150,0xda4e42546326a001086b70828e507ffe7a745e85cdc4bb1b25b52e54749999f4,115500000000
151,0xa5ad5520f47fb960eed60878cb00afac0ba9494ff021e3e68a269dd5e16b73d3,113925000000
152,0x8611c8377749760b86c8439d592b92658d3d2c337f3ddc6731ae44002527d104,113715000000
153,0xd81e0ce82193341bbb8d018761fa25a8a2a4e61292f01df6ba141cbced0edd92,113652000000
154,0x780b988f58b4483ff7cf06674eb9ef0e52f1f7b1deb166fccefd4e12c035ba97,112035000000
155,0x9842e73c8689d97b2204a680921f01caebe4d3280fe74e7a708edfedde3d54c3,110250000000
156,0xd0ed9a4b28fa7f585ff7892ea50b62ebcc41411b5a6bd5fbfa0680780d9e7f37,109210500000
157,0xebc801269e3fc06511923d38e6297aa15c5eb945938ef805b33a9ce86886d0b0,109200000000
158,0xafccb209b648c0869cd6b1bb228440040a337f689cf73b1889145a0485665d8b,109200000000
159,0x465cc42ce767a2726dee3f209ec8f69a64d1d87fa7a1e3f1b825ff0e821fab0b,108150000000
160,0xbbaad1bb1c7931f269081a3dcea0a74638787b2b1e17c1aa95afc27ad61b3696,108139500000
161,0xfa73193837cdde7da35dc3a855e0bc1fc9cc8ac006a191ea8498350802e4b465,107100000000
162,0x25e43d49830a0d33801c25f1e384a33dee2a093582fb16cac8ef735996d9ce4e,107100000000
163,0xf97dd85c8b8c1a4552259b45704402f58167b413845d292dcf6ebeab42714236,107100000000
164,0x8c3026cdca74f2dfaece33c1fc311f1c95fd0a3484114c1764035a62d81e30bc,107100000000
165,0xd3d006663c8f938aa73143e9897aeab16b6355359461e521b53c35142bfb8efa,107000000000
166,0x1835debc697410bc860388a6f0861cdf4e96ab3c42c67a67deeab540483a2713,106828050000
167,0x1db4bf903030fd7a35048252ab94ea66eea3f439a18e2eddc06067a93a422598,106076250000
